name,description
Necessity,Must have. A required expense.
Progressive,An useful expense. Helps to move things forward in terms of income or something similar.
Convenience,An expense for convenience
Luxury,An expense for luxury and fun
Wasteful,"An useless expense. Things to cover up mistakes, clean up etc."
